feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,outlier
0.002093567,0.00999911,0.004090351,0.0031853125,0.0029725686,0.0017579114,0.0019105364,0.02928082,0.0032671073,0.005422095,0.11162489,0.002449323,0.002147649,0.016070249,0.01876349,0.0098229665,0.0039092116,0.0054431865,0.038225044,0.001985382,0.009284304,0.0077641993,0.013235868,0.008820543,0.008587141,0.0066438727,0.0014599187,0.0033200115,0.006109864,0.013038435,0.0013440829,0.0025597976,0.024523547,0.0018420594,0.0031762372,0.0011566217,0.0040286887,0.002964,0.010744687,0.0036549168,0.0039383527,0.0038338786,0.011229625,0.008163516,0.014509027,0.004382401,0.002219793,0.01214551,0.0044912226,0.030253563,0.0011479869,0.0027648853,0.0034800663,0.009703249,0.001956923,0.0015994468,0.0036576185,0.07667015,0.011189612,0.0133982375,0.0035489155,0.014487264,0.00917293,0.012666175,0.0034665128,0.002257619,0.010393897,0.05543971,0.009382164,0.0020869952,0.002994893,0.006819768,0.004913298,0.0012283974,0.0016286498,0.0016081526,0.013035522,0.055850253,0.04215834,0.004986534,0.0007364106,0.0054330155,0.01915384,0.0042557316,0.0035526464,0.0069630723,0.005785714,0.0074950913,0.0062249345,0.0022620896,0.0024437276,0.0015019588,0.009746319,0.0048885667,0.008199087,0.0013691665,0.0033137465,0.0023446472,0.0044995924,0.012290008,1
0.003412712,0.00512158,0.011478528,0.002881454,0.003875507,0.0024326579,0.0024106249,0.006069984,0.008068655,0.008877572,0.08747786,0.0052261474,0.005715999,0.0053921486,0.01274697,0.01957735,0.012022294,0.0043885494,0.011553533,0.0021369236,0.0040330733,0.004895037,0.0046230475,0.0065297773,0.00924421,0.009077609,0.006891049,0.007035972,0.008197531,0.028501632,0.0018996499,0.0031858506,0.054055482,0.002294452,0.005649832,0.004102004,0.0036956803,0.0024454398,0.010173374,0.024784824,0.003531807,0.008362177,0.0023847674,0.005104855,0.013118154,0.006871216,0.0033701893,0.00997982,0.0041802283,0.007438859,0.0010190017,0.008150552,0.004717874,0.02276686,0.005903665,0.007122568,0.004629937,0.051972967,0.015662227,0.0055304146,0.0067880675,0.03385122,0.012936252,0.0113338195,0.0019883013,0.0029511182,0.0073874854,0.06666766,0.018065548,0.002402061,0.02236194,0.0067403214,0.00759852,0.0021249074,0.009541801,0.0036096992,0.006099807,0.025561728,0.008577979,0.0076171914,0.003417343,0.0026641819,0.009594095,0.0028152557,0.013948164,0.0051100743,0.008382595,0.008678175,0.0058541116,0.0064518033,0.0016939648,0.003954157,0.006784752,0.007774979,0.008006855,0.004942596,0.003941755,0.0027603009,0.0053191604,0.00969946,1
0.0096549,0.012286189,0.008160702,0.00293812,0.0041269334,0.027676772,0.0037426401,0.0045672134,0.0041056224,0.004525695,0.035673555,0.0072469246,0.008545598,0.0066554598,0.0193705,0.006062472,0.0052871644,0.0053917193,0.03392933,0.0034876494,0.01336545,0.0039618863,0.00594125,0.005853327,0.0038355312,0.01161314,0.00032889785,0.01387538,0.007461905,0.007111529,0.00170269,0.0018510501,0.008771498,0.0054884916,0.0064555462,0.0020046642,0.006606072,0.0036597848,0.0020331643,0.016556483,0.003837141,0.01132527,0.008280461,0.0028694463,0.0037403512,0.010662024,0.0077190227,0.0022776874,0.003623636,0.0060270075,0.0010193042,0.0014758605,0.003312014,0.006649564,0.002896002,0.004484628,0.0014031401,0.0065573677,0.010571621,0.011402416,0.0066264262,0.01787858,0.011650248,0.011094874,0.00056505663,0.0014172537,0.002759184,0.18649991,0.04031014,0.0055953213,0.00046948373,0.0063276943,0.010669872,0.016673775,0.0065386607,0.014502024,0.0041706525,0.0063144593,0.014979387,0.0014697766,0.0009478398,0.0062526315,0.010469322,0.0059551327,0.0055086436,0.013988286,0.0022730243,0.00909485,0.0036390435,0.012994936,0.0022572258,0.032799065,0.028949443,0.00045722994,0.0047274223,0.019517092,0.003583194,0.0058945874,0.0060503855,0.0060809366,1
0.00831283,0.010407692,0.00784071,0.00656619,0.0028371627,0.0059199044,0.0043781684,0.006799569,0.012589161,0.0072859204,0.020219933,0.010658245,0.007466106,0.0063430523,0.024822839,0.00421968,0.005259485,0.009098143,0.027981274,0.008677252,0.0062997136,0.0071606706,0.010326708,0.0033164718,0.0069483165,0.005948757,0.0018924712,0.016286941,0.010436281,0.016249306,0.007199388,0.0053347554,0.027725369,0.007008994,0.012438808,0.0049191294,0.0014521129,0.004433584,0.0070285825,0.011503248,0.004240409,0.009763399,0.004904566,0.0025571508,0.007539161,0.01772544,0.0073649567,0.00371039,0.0062203985,0.0068525765,0.002191296,0.0032670416,0.0056831907,0.009595785,0.006660538,0.0060573975,0.004940216,0.027585272,0.008779511,0.010507338,0.007868512,0.021447485,0.0034360182,0.006610435,0.007672012,0.0032341988,0.0048604035,0.04669708,0.044176187,0.028316304,0.002487432,0.013116629,0.005425724,0.009668191,0.04176062,0.0055968515,0.0068713115,0.017956937,0.007395163,0.005593674,0.002298331,0.0057496806,0.0059382473,0.012632846,0.019434847,0.013367407,0.0044118664,0.012498379,0.0077864206,0.0045749764,0.00961716,0.010836592,0.020272851,0.0030057372,0.008720824,0.018842919,0.0030392192,0.0051606693,0.00641739,0.0074635204,1
0.0018585627,0.0008929677,0.0032341045,0.0044519375,0.0024916315,0.008842869,0.0010519839,0.010887624,0.0067714755,0.009839554,0.009577345,0.004111241,0.0041807615,0.0063875825,0.015212736,0.0051304623,0.004888001,0.0016979438,0.0047298544,0.0035896543,0.014199651,0.0031404234,0.00641767,0.005415932,0.0046058157,0.008061231,0.0036483677,0.001667717,0.0060620094,0.012667289,0.008786249,0.0036029685,0.11945053,0.0044496884,0.008313297,0.0010380581,0.001854327,0.0027120246,0.013641139,0.016906582,0.0033499687,0.0037241646,0.005122112,0.004222418,0.0064468537,0.0034927113,0.0038376413,0.044290733,0.0066006808,0.0042408365,0.0007900277,0.005159035,0.009478476,0.010718014,0.002900799,0.0021493356,0.010915824,0.02442147,0.006675259,0.011055449,0.0051225726,0.014757659,0.0061844494,0.036495127,0.0049842848,0.0016037405,0.004313541,0.036628034,0.017304374,0.007400848,0.011919335,0.0026411975,0.0026434301,0.0041241017,0.017710397,0.005248755,0.0064487825,0.036848485,0.011247298,0.0027903626,0.0018290941,0.0032115043,0.0065177153,0.005008335,0.014591979,0.005608142,0.0057452642,0.012896755,0.0044211443,0.0030384657,0.0017434515,0.003586002,0.004817482,0.13313557,0.009423917,0.006289216,0.008109347,0.0027150598,0.0028292434,0.0020044816,1
0.0018079182,0.002557176,0.010199013,0.005874127,0.0028728761,0.0066511882,0.002373095,0.031474195,0.01894543,0.012028727,0.008061648,0.009247731,0.0025125204,0.00789377,0.070040196,0.0054966793,0.007446919,0.0026019337,0.052778095,0.005843563,0.0034735657,0.0022165459,0.011697191,0.0039778026,0.0026867527,0.0023437333,0.0017688873,0.002508904,0.011565596,0.018621674,0.0021975385,0.0013644535,0.13633414,0.0052921856,0.008260862,0.0007166909,0.0010503625,0.0021810776,0.0075299614,0.017979039,0.0029115737,0.0044807782,0.005545775,0.00487007,0.0105761215,0.00714628,0.012026635,0.011417817,0.0038447366,0.0043184916,0.0014737382,0.0026472309,0.0031287502,0.0073332596,0.004087966,0.0013408996,0.0043061716,0.044351466,0.0071989205,0.022356471,0.002331261,0.010377254,0.0033162045,0.0023946106,0.0011560898,0.0014390665,0.0026524342,0.06674586,0.029729849,0.011059373,0.0027328783,0.0041216966,0.009329034,0.006544319,0.0032885554,0.0018960126,0.0070248283,0.025104543,0.0086344,0.006002837,0.0005802996,0.003767011,0.0060503874,0.006848055,0.012278243,0.010211974,0.011770594,0.0049907584,0.0021473647,0.0058233226,0.0025546749,0.0073557636,0.009318187,0.006411444,0.012172032,0.0030864931,0.0018254346,0.0033180504,0.001821523,0.0059503242,1
0.0039018309,0.0024941212,0.0065419544,0.0122279655,0.002219304,0.0044832784,0.0011906207,0.022725979,0.01495903,0.012211037,0.09916084,0.0057163625,0.0035359154,0.010381927,0.03430497,0.009598573,0.008547656,0.0051316014,0.01251222,0.0031456454,0.004946938,0.008511864,0.034421932,0.0075566033,0.0035826275,0.0023387265,0.004472893,0.009088563,0.010840237,0.017802214,0.0036736997,0.0025430946,0.035468206,0.0072742673,0.007022812,0.0015971698,0.0019984266,0.0037838067,0.008242197,0.0056144893,0.0077442536,0.006911532,0.005966254,0.005313198,0.011587566,0.008459397,0.004862266,0.01948908,0.008743101,0.0055210902,0.0020150645,0.003543371,0.005986375,0.0061264774,0.00493644,0.0038976825,0.008113018,0.03443011,0.007990919,0.029889774,0.004585828,0.05852658,0.007671734,0.003925726,0.007879982,0.0019472231,0.006724623,0.020505944,0.023751667,0.0055517415,0.011501125,0.006147011,0.012098508,0.007614535,0.003273405,0.0039380393,0.0057044537,0.0036992517,0.008743244,0.008865623,0.0010639993,0.0038788936,0.009867294,0.0073385877,0.033082545,0.005120502,0.0033782243,0.0038659112,0.0021489125,0.011496651,0.0019664906,0.01823692,0.00744664,0.0069061406,0.00690004,0.0022739733,0.003961553,0.0042985384,0.0009048034,0.0059085777,1
0.0070288847,0.0058874297,0.005664605,0.0025508841,0.0022054738,0.0057858345,0.0029480977,0.01074245,0.005332647,0.006667004,0.01226486,0.004880141,0.0044553895,0.0038984667,0.0062694144,0.008997182,0.0071975905,0.0044048917,0.01537506,0.010881398,0.009409472,0.0025588137,0.0027954478,0.0051876376,0.0034578957,0.0062118275,0.0015498115,0.008696416,0.008390827,0.010157943,0.002751451,0.0028062416,0.0067508854,0.0051972046,0.004162344,0.0030308494,0.0047914223,0.0038531125,0.00567328,0.010020483,0.001410873,0.01448643,0.011186127,0.006678704,0.004019941,0.012962151,0.005417613,0.0019257986,0.0047185626,0.006287248,0.003191952,0.0028730896,0.0028271293,0.0026943784,0.0025314156,0.004895626,0.002575856,0.006598393,0.003948659,0.0035279638,0.0072593726,0.0061445953,0.015727386,0.0026972964,0.0030239287,0.0037904736,0.0034535946,0.39193615,0.011632452,0.003019065,0.003684625,0.006716446,0.012288754,0.00508681,0.008279377,0.005458722,0.0033105772,0.0064850887,0.009600334,0.002234922,0.0020585093,0.00402418,0.0089020785,0.008275463,0.0066729514,0.018746132,0.0045885444,0.006785424,0.008123353,0.003118748,0.004247324,0.006914855,0.017859517,0.0054954523,0.0065509477,0.0068780337,0.0034393023,0.009875794,0.0049026627,0.0050617307,1
0.0009800923,0.005135296,0.0059954324,0.0045228167,0.0039282567,0.005857632,0.0050167167,0.012898196,0.01137376,0.005058252,0.013776788,0.005030156,0.011432174,0.01187953,0.07263835,0.0016811852,0.0074701933,0.00179227,0.21541204,0.0031658474,0.01110119,0.001375243,0.004069162,0.0060207047,0.0073959,0.0026188728,0.002852109,0.005861386,0.013091073,0.01480923,0.002121638,0.001790255,0.11056568,0.00789975,0.0032024826,0.0012670251,0.002353743,0.0036080813,0.0041236975,0.007709827,0.004072969,0.0041389684,0.0048829988,0.0036872532,0.00958194,0.005598414,0.009456966,0.013450165,0.0027942313,0.007158912,0.0018560365,0.0028289421,0.0026727025,0.0053168624,0.005918459,0.002732411,0.008584026,0.009681723,0.003825165,0.013381175,0.0026644606,0.010958717,0.016634356,0.012460726,0.002314461,0.00093085057,0.005476066,0.004786836,0.012813205,0.0011269773,0.006082973,0.0026178965,0.004949536,0.0040525645,0.004249299,0.002985365,0.0052902317,0.018483896,0.016373193,0.0019398724,0.003075112,0.003990627,0.016528329,0.001947412,0.008251984,0.0035705601,0.0032203363,0.0042221462,0.0038939044,0.0038303866,0.0021476946,0.02228816,0.004760206,0.017269287,0.0040236376,0.0020990209,0.0074460693,0.002192727,0.0020260166,0.0055225627,1
0.004941682,0.0040799836,0.005401103,0.0054295277,0.0025507598,0.0059214802,0.00256253,0.010513154,0.016521744,0.0038017754,0.013290403,0.009160201,0.0021127127,0.0052959174,0.05252225,0.007593228,0.005184599,0.0048783883,0.021049077,0.0061841193,0.0062337667,0.0029770723,0.0053249444,0.0066131284,0.0052638846,0.0037381647,0.0022723726,0.0039255233,0.012829472,0.011466264,0.002603774,0.0028324616,0.045376547,0.0040763393,0.007965436,0.0008170732,0.0027625526,0.0023816375,0.008538806,0.011109595,0.0053179613,0.0056892014,0.0070680887,0.0034596745,0.0074653896,0.008799691,0.006184024,0.010136335,0.005633204,0.0067029805,0.007786375,0.0032214257,0.0045465007,0.0044614794,0.007792086,0.0052528856,0.003766801,0.019703405,0.009803482,0.012443995,0.006320661,0.008107652,0.012222017,0.0057483558,0.0033533531,0.0031877414,0.0050467723,0.26430166,0.016217837,0.01276251,0.0014085962,0.0058973012,0.0031895568,0.004278915,0.007867659,0.0036917892,0.0040687756,0.0080973925,0.010858417,0.005298038,0.0030678508,0.003035742,0.003253661,0.006984149,0.015895387,0.0075846934,0.0027378995,0.0038660443,0.004656567,0.008659697,0.003935061,0.009973246,0.013498118,0.0021775088,0.0064234873,0.004557808,0.003709941,0.00594232,0.004745202,0.010032135,1
