feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,outlier
0.12008507,0.03416985,0.045010153,0.05449862,0.07020353,0.062315814,0.46538296,0.027425256,0.07737618,0.043532573,1
0.16906802,0.042453267,0.1631439,0.0096615,0.027650993,0.08823783,0.26352262,0.019226065,0.15183255,0.06520326,1
0.062746875,0.057707123,0.05782644,0.008081081,0.078791596,0.042945776,0.54580873,0.020440063,0.07152577,0.05412651,1
0.053901475,0.050409246,0.041722592,0.011480862,0.045322765,0.024206536,0.6579796,0.023046026,0.05442459,0.037506264,1
0.18988365,0.07424391,0.122577414,0.038227905,0.132881,0.04377586,0.24555857,0.04315989,0.0761168,0.033574905,1
0.07229454,0.069075495,0.062388834,0.017605774,0.075917915,0.034974158,0.48121715,0.037138157,0.0853854,0.06400254,1
0.118550636,0.07495227,0.29039314,0.008732011,0.1732511,0.08758212,0.13659659,0.014425863,0.052927267,0.042589,1
0.18942212,0.06635602,0.09846022,0.042649653,0.056166787,0.049198024,0.3320784,0.035783853,0.07477764,0.055107284,1
0.09327569,0.041115746,0.091225855,0.01148008,0.106034346,0.05513495,0.4608811,0.03240682,0.056812998,0.051632445,1
0.03671408,0.01799509,0.01607582,0.0076501267,0.020926423,0.015472954,0.8419073,0.009465471,0.014026604,0.01976613,1
0.05257342,0.035708703,0.029627044,0.018481888,0.048314318,0.027319454,0.6895935,0.029429844,0.02769772,0.041254055,1
0.08031519,0.06064288,0.03227375,0.022245124,0.03283525,0.044868756,0.5591548,0.057978753,0.06760502,0.042080432,1
0.11499273,0.06881319,0.09826305,0.074750595,0.0866491,0.052059896,0.36778113,0.02713831,0.057521656,0.05203044,1
0.15262143,0.064482994,0.035358284,0.08776708,0.0724569,0.10731708,0.29459015,0.045755167,0.06993581,0.06971505,1
0.10326935,0.101795614,0.22712593,0.02129488,0.10582417,0.08849115,0.20490454,0.021734808,0.069498464,0.05606111,1
0.041174386,0.032303676,0.0704831,0.022526711,0.14980428,0.015298196,0.50345564,0.04395697,0.06919563,0.051801343,1
0.16625772,0.07985695,0.07839719,0.07699332,0.08245892,0.047532897,0.28519526,0.056653373,0.06414825,0.06250616,1
0.10954095,0.050781336,0.11739566,0.03596376,0.060644016,0.0363323,0.42562425,0.034188144,0.086776085,0.042753477,1
0.09781225,0.094484985,0.11086788,0.023696408,0.040481478,0.03482407,0.4834646,0.018361105,0.04974551,0.046261657,1
0.12893566,0.055484913,0.046358738,0.018649573,0.02802029,0.06111795,0.5579993,0.023227287,0.047300983,0.03290529,1
0.12558603,0.05535508,0.18742001,0.09456274,0.18568397,0.035194065,0.13258357,0.04327048,0.05706872,0.08327541,1
0.079106264,0.040772602,0.037039615,0.03386546,0.06454896,0.022728778,0.6053594,0.028088091,0.036470342,0.052020624,1
0.16022983,0.07794057,0.14092106,0.03599734,0.053143743,0.06162362,0.32501972,0.033278506,0.056285147,0.05556052,1
0.07608106,0.027103612,0.032575894,0.027745748,0.05737685,0.057157833,0.5203857,0.044225957,0.081860565,0.07548677,1
0.24159902,0.085689984,0.18581098,0.029508233,0.047843274,0.09864706,0.17263053,0.026909402,0.05817745,0.053184025,1
0.11563872,0.06415772,0.1032284,0.034303978,0.069320664,0.06738706,0.4143813,0.019401098,0.05800869,0.054172285,1
0.089155324,0.092686705,0.16212447,0.029430546,0.061781198,0.07731242,0.25159943,0.06118385,0.10199545,0.07273057,1
0.10697571,0.047241632,0.18327643,0.013254617,0.046794243,0.03973687,0.4589666,0.011046352,0.046064686,0.04664285,1
0.40644446,0.04323889,0.066708766,0.014369758,0.032198675,0.07742941,0.23990878,0.019360842,0.0527697,0.047570717,1
0.10692434,0.049113892,0.042294428,0.03854511,0.03883697,0.044824515,0.55265677,0.034174882,0.05596485,0.036664296,1
0.19424015,0.10057191,0.10259388,0.04182592,0.039342172,0.060911924,0.29741538,0.034375448,0.08578231,0.042940907,1
0.29612356,0.07227164,0.17631781,0.014660424,0.046389196,0.07269234,0.1542298,0.03046424,0.113587596,0.02326333,1
0.11173706,0.037527572,0.071082786,0.012212996,0.04091822,0.044623986,0.53337336,0.027252024,0.059812352,0.06145971,1
0.062398035,0.052800726,0.6172253,0.022001686,0.029618269,0.04131091,0.07766265,0.01831986,0.031554356,0.047108237,1
0.060320586,0.04982597,0.03966973,0.019055301,0.043960784,0.039804664,0.6327614,0.024502927,0.043737665,0.04636097,1
0.028353041,0.021299448,0.030940333,0.007556657,0.012652653,0.018864833,0.7766477,0.028591242,0.042621437,0.032472685,1
0.040218826,0.028047273,0.09398681,0.009943522,0.025536492,0.027137587,0.6980646,0.011575151,0.030044695,0.03544493,1
0.1105612,0.082765296,0.13110468,0.028451847,0.20686878,0.04459864,0.23690344,0.02808764,0.08474503,0.04591347,1
0.03395116,0.022736019,0.018313818,0.009148192,0.037912335,0.01449113,0.79219264,0.020224057,0.024613114,0.026417501,1
0.083407156,0.058280367,0.14786556,0.033894785,0.059062287,0.036074873,0.43332666,0.03389953,0.0628741,0.051314697,1
0.18085444,0.09229941,0.11937174,0.033120945,0.068411954,0.0805351,0.2400903,0.034942016,0.07738223,0.07299187,1
0.14299458,0.087484784,0.1011439,0.05587695,0.11933743,0.09692349,0.21692404,0.0337944,0.07787294,0.06764741,1
0.14668545,0.087399654,0.1238273,0.08354611,0.048647508,0.036743414,0.3132452,0.051083975,0.065801166,0.043020196,1
0.030146545,0.0259057,0.037055008,0.014560477,0.027481666,0.016835429,0.7686288,0.01751548,0.038416486,0.023454353,1
0.17896058,0.07962517,0.07433618,0.02470771,0.03690062,0.07912228,0.3256248,0.04422976,0.11258507,0.04390781,1
0.101912476,0.055408202,0.06816457,0.018183973,0.09145114,0.060931735,0.4705387,0.017390551,0.062461816,0.053556822,1
0.09027138,0.032593228,0.036705136,0.0112139145,0.048875507,0.045306392,0.5516375,0.028233077,0.09184535,0.06331848,1
0.05112878,0.051288974,0.049483765,0.024522055,0.040355194,0.027781155,0.61588067,0.042135764,0.04515772,0.052265856,1
0.15652208,0.050141465,0.10783627,0.046757087,0.079162955,0.048794854,0.32758304,0.031703107,0.085740566,0.065758556,1
0.099716924,0.06817137,0.15512829,0.013095108,0.054054968,0.038743503,0.4114697,0.027896143,0.072465055,0.059258875,1
0.15984948,0.10121526,0.12294459,0.060602773,0.056730226,0.04919779,0.2611878,0.047194544,0.089456685,0.051620856,1
