feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,outlier
0.014170642,0.014612619,0.016664803,0.87617874,0.010332512,0.01686852,0.010196602,0.0139667345,0.012617899,0.014390934,1
0.06950633,0.03661386,0.15584166,0.05584586,0.13221183,0.07824518,0.059608284,0.08367653,0.12500525,0.2034452,1
0.104508616,0.06466341,0.0681923,0.26603502,0.05107554,0.10328787,0.039759357,0.04403781,0.21874726,0.039692782,1
0.025437448,0.036051746,0.029801825,0.5077033,0.06367486,0.08178913,0.13196634,0.048623737,0.04737892,0.027572684,1
0.046547674,0.05802806,0.08290624,0.04118782,0.09771045,0.036573444,0.42879665,0.058523,0.05671176,0.09301491,1
0.10282303,0.11330157,0.072682306,0.25902528,0.046524413,0.063378006,0.042878237,0.062384605,0.14053388,0.09646866,1
0.023088539,0.015177648,0.018358966,0.015905308,0.01613125,0.013602074,0.016185002,0.018629137,0.014605196,0.8483168,1
0.09388231,0.13093531,0.062257115,0.31002462,0.045694117,0.06094893,0.048686583,0.025572913,0.11579409,0.10620396,1
0.02948697,0.029290838,0.1511585,0.09917748,0.033742074,0.062078327,0.42674,0.059149504,0.05705277,0.052123643,1
0.114075884,0.038857497,0.44397408,0.037889697,0.0233898,0.025182337,0.22872874,0.021731049,0.03431746,0.031853415,1
0.026337126,0.019260442,0.0105631985,0.005576523,0.0149965035,0.018212646,0.8691524,0.008946456,0.009054517,0.017900229,1
0.2781329,0.015825788,0.4623787,0.009677864,0.036928747,0.039934568,0.07655091,0.024815654,0.024219884,0.031534962,1
0.13504337,0.023107028,0.29187062,0.20495073,0.023852669,0.04794074,0.06642289,0.025827706,0.14775936,0.033224873,1
0.010041801,0.012554172,0.01040981,0.014637436,0.019032747,0.012463194,0.014075938,0.88127536,0.009844241,0.015665248,1
0.0880855,0.0244536,0.1227175,0.033814475,0.022996742,0.023947585,0.015062127,0.026282359,0.6182409,0.024399169,1
0.27322665,0.034457773,0.046274774,0.07579433,0.026230235,0.09040702,0.29925558,0.043634284,0.042795002,0.06792438,1
0.028527657,0.0222187,0.021393156,0.019367747,0.011659936,0.025945127,0.020140953,0.017997898,0.81225854,0.020490315,1
0.5814531,0.023125736,0.045298357,0.04153006,0.042600486,0.031320453,0.04173025,0.018450074,0.12265002,0.05184156,1
0.0478916,0.042558953,0.033973467,0.4270873,0.04900123,0.15049328,0.04539564,0.10352614,0.066603005,0.033469334,1
0.16905037,0.018711863,0.0522997,0.3690848,0.07162342,0.0606673,0.047213137,0.035350695,0.11997617,0.05602258,1
