feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,outlier
0.06259763,0.027154684,0.043027982,0.59535646,0.05248951,0.039670534,0.02046307,0.0689758,0.038375046,0.05188932,1
0.049517754,0.04125764,0.08421236,0.3197138,0.048737857,0.1013815,0.08412282,0.081403546,0.095370226,0.094282456,1
0.08481575,0.091203906,0.12054764,0.17349243,0.18602206,0.078390665,0.040188774,0.039244685,0.077628076,0.10846606,1
0.14626414,0.05023747,0.101965636,0.3675176,0.051539794,0.11128864,0.023577685,0.035363894,0.04833598,0.06390918,1
0.05592234,0.06274936,0.06805687,0.20176248,0.16557986,0.07541842,0.08559111,0.08484004,0.07304349,0.12703608,1
0.065101184,0.059662007,0.39462683,0.107708044,0.12034079,0.09346175,0.048116803,0.028420959,0.030294161,0.052267484,1
0.07921407,0.06908214,0.047133885,0.27466354,0.103317305,0.16728163,0.043532584,0.059949372,0.08837418,0.06745129,1
0.04842211,0.04459858,0.16228795,0.08964514,0.22285613,0.052138295,0.100398,0.1173821,0.074679695,0.08759204,1
0.047418755,0.05142247,0.07188276,0.22563016,0.1425613,0.07785748,0.18986292,0.076522596,0.04679525,0.0700463,1
0.04655068,0.048280604,0.19762422,0.20862828,0.031145792,0.03894596,0.16826907,0.11827724,0.051996887,0.09028123,1
0.053344402,0.027635265,0.23951052,0.1094057,0.024087828,0.13209498,0.083666444,0.080129035,0.06681938,0.18330644,1
0.045774408,0.06938043,0.14498676,0.14914078,0.08134584,0.056517236,0.15569021,0.07823923,0.09314998,0.12577516,1
0.0440785,0.033092164,0.028160613,0.060495894,0.045174405,0.051412877,0.62465537,0.03520586,0.03645587,0.041268457,1
0.05119428,0.046491936,0.022033125,0.31958726,0.22664209,0.050684635,0.064702205,0.028226266,0.13868442,0.05175372,1
0.032116663,0.061393086,0.18115863,0.08407985,0.05548778,0.11975937,0.15748882,0.0796,0.10482981,0.124086015,1
0.057687465,0.031777125,0.6011173,0.022002662,0.071605325,0.029223457,0.050241146,0.03120851,0.061080806,0.044056173,1
0.037987087,0.02637382,0.14983638,0.2842689,0.042837378,0.1305549,0.013889931,0.1449978,0.110845104,0.058408707,1
0.09664986,0.09771297,0.036148146,0.10014466,0.01987536,0.14852473,0.10138874,0.052818332,0.27538756,0.0713497,1
0.09892561,0.04442529,0.21858576,0.1541088,0.05882106,0.0822869,0.049781654,0.11169613,0.065119915,0.11624884,1
0.120942846,0.07806535,0.096672185,0.25578797,0.122465424,0.043853644,0.08746166,0.07763897,0.06414998,0.052962013,1
0.05367563,0.092591204,0.122382194,0.53571266,0.032212615,0.03918272,0.025170933,0.033364262,0.038120568,0.027587216,1
0.0410339,0.021837525,0.17932379,0.6671248,0.007252082,0.008832283,0.0037653712,0.017981304,0.034249976,0.018598938,1
0.045864373,0.06574167,0.054753944,0.03242955,0.04283139,0.17746805,0.22245455,0.182141,0.120983966,0.055331588,1
0.070373744,0.06790587,0.07323052,0.2133806,0.11156302,0.07637042,0.13096683,0.11662408,0.06494908,0.07463585,1
0.13840984,0.13261418,0.23875175,0.06871182,0.06910142,0.041095365,0.083945215,0.08569556,0.10332546,0.03834935,1
0.0844791,0.032167576,0.05007253,0.50084513,0.022687484,0.07093347,0.048651297,0.0740195,0.08416912,0.03197478,1
0.059252296,0.067874976,0.07470342,0.07325988,0.04423594,0.25852472,0.026619358,0.25066233,0.042319413,0.102547616,1
0.100082956,0.05163623,0.080037825,0.062280953,0.08106442,0.1124028,0.16585796,0.13708884,0.07675744,0.13279058,1
0.025239047,0.042566653,0.059693996,0.33760872,0.036060326,0.26446217,0.08272682,0.02314228,0.06568318,0.06281681,1
0.15003972,0.051446483,0.087825336,0.28536814,0.025792746,0.015347879,0.115991406,0.19525523,0.039073143,0.03385991,1
0.05048624,0.05339894,0.22406715,0.0671101,0.07310242,0.17754756,0.063099466,0.059186976,0.13657561,0.09542555,1
0.0580638,0.054903485,0.14060454,0.020170465,0.23998454,0.041492652,0.22644173,0.061179873,0.08370761,0.07345127,1
0.028959544,0.031590074,0.12570842,0.399429,0.1889262,0.059823263,0.03902393,0.04306859,0.03707211,0.046398886,1
0.045542244,0.0686502,0.07219371,0.03610018,0.06161744,0.07032088,0.3160231,0.085802376,0.17059647,0.07315339,1
0.030440032,0.18730637,0.08851982,0.08127953,0.06181931,0.054776073,0.19588076,0.047639202,0.0473234,0.20501551,1
0.047139347,0.028399438,0.06134473,0.034035023,0.65146667,0.011305493,0.059036102,0.01712108,0.050138086,0.040014017,1
0.057695214,0.06144213,0.06627628,0.31942213,0.07985206,0.073129885,0.10520425,0.10287449,0.061474383,0.0726292,1
0.18732557,0.032531206,0.087655246,0.38910973,0.095407344,0.012770454,0.014147351,0.027923008,0.055730674,0.09739948,1
0.080708794,0.08286421,0.13970083,0.067432985,0.05362381,0.10291165,0.18617491,0.10718532,0.066259146,0.11313831,1
0.069288045,0.011905531,0.12360795,0.1270741,0.1000549,0.23095082,0.01240327,0.041860178,0.04281242,0.24004284,1
