feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,outlier
0.037017643,0.030956494,0.035904266,0.076207,0.011343833,0.030091513,0.026923627,0.6996719,0.03252986,0.01935379,1
0.8578829,0.016640263,0.012033918,0.015041122,0.016327197,0.013204131,0.0148635125,0.017911075,0.0140871145,0.022008702,1
0.020809816,0.02115521,0.016750624,0.016871825,0.017556649,0.018938964,0.83468866,0.015778372,0.01868257,0.0187673,1
0.017482346,0.015190979,0.018875329,0.014338376,0.016970912,0.017280634,0.013977393,0.01981754,0.016565958,0.8495005,1
0.021460883,0.016853036,0.018191317,0.0271355,0.015199662,0.81292444,0.019942522,0.032819692,0.01417376,0.021299157,1
0.022101326,0.82688355,0.020126702,0.020653382,0.016686235,0.018485181,0.019678716,0.017141975,0.019445853,0.018796992,1
0.024179434,0.024567882,0.024597703,0.018777767,0.018992258,0.020372896,0.021659072,0.80038846,0.025164196,0.021300301,1
0.7252391,0.015853724,0.023945218,0.02327938,0.03090979,0.023624975,0.025240218,0.024010602,0.03477885,0.0731181,1
0.029253244,0.019802358,0.0383095,0.74453574,0.025078548,0.051046927,0.017453143,0.018867055,0.028460898,0.02719268,1
0.015095146,0.014206479,0.87544286,0.011596174,0.009185387,0.014836527,0.01701101,0.016421327,0.012545659,0.013659435,1
0.018737119,0.017575411,0.018713782,0.020467892,0.016270773,0.0214015,0.018801693,0.83213484,0.019055868,0.01684113,1
0.020195793,0.018953873,0.82217324,0.021188721,0.017713407,0.016630841,0.021990318,0.02086545,0.020177953,0.020110397,1
0.020746544,0.020922659,0.021240829,0.017225824,0.02169386,0.020931296,0.018480323,0.8192951,0.021872649,0.017590843,1
0.009386985,0.011653639,0.011382846,0.011668848,0.009178215,0.0162732,0.008440672,0.0076901666,0.00870168,0.90562373,1
0.017187636,0.020824302,0.019669749,0.015125903,0.012359545,0.018089736,0.84984565,0.014526872,0.01922217,0.013148476,1
0.022444185,0.022482881,0.038941838,0.042728443,0.03251698,0.03835964,0.030242622,0.023084117,0.6941485,0.055050783,1
0.02704155,0.022425277,0.01942495,0.025073146,0.0202795,0.017060757,0.02282618,0.022586834,0.79959077,0.023691043,1
0.021139376,0.018555835,0.019642873,0.017404163,0.018771043,0.013130933,0.023109108,0.017705953,0.8347759,0.015764821,1
0.016974226,0.016720364,0.01855357,0.01671079,0.013836864,0.016247502,0.017215189,0.8499034,0.017219437,0.016618658,1
0.016250907,0.015625311,0.017852517,0.014300769,0.023536766,0.017840825,0.016486648,0.025665568,0.015757341,0.8366834,1
0.018523607,0.016853975,0.013174173,0.015211011,0.85131055,0.013542585,0.01692244,0.018353192,0.017580997,0.018527433,1
0.023510689,0.022543635,0.79342854,0.015266571,0.023878418,0.03442668,0.022196127,0.019380229,0.019241977,0.026127275,1
0.02005303,0.020549297,0.010120296,0.8466657,0.0151553815,0.01884972,0.01739803,0.015570942,0.019572565,0.01606506,1
0.016854579,0.015406892,0.017303701,0.0087257475,0.016270073,0.8633759,0.011919933,0.0129229585,0.021559963,0.015660152,1
0.8425742,0.0175996,0.014681327,0.016903589,0.023710879,0.022316393,0.015755093,0.013986148,0.014251075,0.0182217,1
0.89208436,0.015234605,0.008716012,0.009423749,0.013898862,0.010886939,0.013992704,0.014882116,0.010918793,0.009961852,1
0.014289964,0.01463891,0.87520283,0.009301277,0.014790612,0.013484928,0.014810966,0.014345496,0.016001672,0.013133388,1
0.01856469,0.019947594,0.022658456,0.018498354,0.02228454,0.01769651,0.023455458,0.023078386,0.8167981,0.017017955,1
0.018925466,0.8050182,0.019514013,0.024613187,0.022332419,0.022517584,0.019815955,0.01894658,0.018218685,0.03009791,1
0.019221086,0.022555722,0.019404765,0.025196854,0.018188803,0.02182194,0.019626247,0.020693852,0.8170806,0.016210116,1
0.025770709,0.02870467,0.73069185,0.019904986,0.031163156,0.021050302,0.0680095,0.022981301,0.026088834,0.025634743,1
0.86205536,0.016438635,0.01435611,0.015778806,0.015911002,0.014409666,0.0149403615,0.014335829,0.019585224,0.012189138,1
0.027156852,0.021914063,0.020697147,0.02239017,0.021605993,0.020492213,0.021999506,0.8083918,0.019529754,0.015822502,1
0.014804065,0.01582776,0.84591174,0.008632084,0.014982677,0.024474032,0.018474594,0.015885277,0.02240505,0.018602809,1
0.8367698,0.018868307,0.016503952,0.020081947,0.018931225,0.018759733,0.018530587,0.016896097,0.016795961,0.017862365,1
0.29846734,0.043855324,0.2977655,0.061244406,0.029929986,0.0305489,0.039555043,0.029019393,0.116324395,0.053289693,1
0.017948313,0.016587785,0.015525079,0.016441237,0.020577524,0.01747192,0.016237533,0.016803904,0.013952905,0.8484538,1
0.015794775,0.84007007,0.01840646,0.016873829,0.016580822,0.015978124,0.017021554,0.019149339,0.018705929,0.02141912,1
0.5246087,0.027163362,0.020227674,0.03442578,0.04128667,0.03542907,0.035137825,0.026932126,0.04822054,0.20656827,1
0.017881569,0.017135333,0.01615187,0.018954135,0.015878508,0.8437747,0.016804617,0.017294714,0.022133008,0.013991636,1
0.023554519,0.82634425,0.020037265,0.015438804,0.016646897,0.021936469,0.014709651,0.022397293,0.022080973,0.0168539,1
0.014350217,0.015350453,0.015686419,0.011457723,0.0151295895,0.86824286,0.01662315,0.010918043,0.016759362,0.015482257,1
0.8390931,0.017957883,0.015813412,0.019973941,0.017059324,0.01662167,0.01702172,0.015849708,0.023632752,0.01697663,1
0.013591624,0.013079509,0.017657494,0.8124069,0.041278478,0.024795506,0.03317945,0.010144506,0.016957581,0.016908988,1
0.015044408,0.0130380085,0.01454928,0.021900358,0.018261932,0.8503541,0.019623928,0.012747236,0.018742416,0.01573842,1
0.81311506,0.017990084,0.017555928,0.023989977,0.020196322,0.022612866,0.019127864,0.020258263,0.024963018,0.020190606,1
0.015702322,0.017312529,0.85409486,0.010941774,0.010102545,0.013421909,0.028130041,0.016185354,0.014020799,0.020087915,1
0.860359,0.019567303,0.010822211,0.013333323,0.014412631,0.017924335,0.01772162,0.015668876,0.011682923,0.018507717,1
0.024383575,0.029220978,0.024069332,0.5766921,0.030853458,0.21790597,0.024873499,0.022980724,0.021108609,0.027911818,1
0.022085149,0.015792083,0.016475953,0.84888995,0.013506544,0.011570154,0.013640789,0.016175874,0.023666037,0.018197557,1
0.02449213,0.02850582,0.022107558,0.02515683,0.01988314,0.028020654,0.02341879,0.7818078,0.020350734,0.026256548,1
0.01833523,0.016351737,0.014353205,0.015917646,0.85602957,0.013309277,0.017543806,0.013697086,0.015069742,0.019392759,1
0.023106774,0.8030547,0.019651119,0.022501143,0.021789098,0.01999757,0.021785924,0.020488411,0.023020081,0.024605181,1
0.022585025,0.02305347,0.024510816,0.031446476,0.77236325,0.021188414,0.03042591,0.020145364,0.027997926,0.026283242,1
0.024517328,0.02318203,0.81944174,0.018351538,0.02140054,0.017242856,0.021444546,0.018522434,0.017830547,0.018066496,1
0.010354187,0.009467701,0.0074570403,0.0028380794,0.0065857754,0.9232046,0.013070239,0.008410018,0.010713614,0.007898849,1
0.013954118,0.8493502,0.013013864,0.019616807,0.012984879,0.018839272,0.016787328,0.020651761,0.013678598,0.021123154,1
0.011867954,0.015196067,0.01911068,0.016512683,0.0133310035,0.87547594,0.012636408,0.008307911,0.013432997,0.014128338,1
0.024724003,0.021208161,0.79163074,0.04033612,0.025363414,0.022367546,0.018861813,0.015759552,0.020930504,0.018818127,1
0.77405524,0.015841113,0.01782782,0.020794211,0.028885366,0.021296626,0.020176955,0.023250557,0.061043054,0.0168289,1
0.016580682,0.015161341,0.018548558,0.017055187,0.01547896,0.01715448,0.018801812,0.8477194,0.015123497,0.018376213,1
0.020248286,0.018724632,0.8363233,0.018538665,0.015302552,0.016774017,0.015157417,0.02259488,0.017409781,0.018926475,1
0.019360773,0.017694192,0.8157077,0.019933065,0.015109191,0.02173333,0.022726689,0.028232168,0.020766431,0.018736636,1
0.0217061,0.81473804,0.01780589,0.021679247,0.023143495,0.020017065,0.020389877,0.020533638,0.015550245,0.024436422,1
0.0155047085,0.017929813,0.014671204,0.020504737,0.0143354265,0.017253337,0.01653046,0.017236808,0.8463321,0.0197014,1
0.031040063,0.029546889,0.033154815,0.022021329,0.02526625,0.60436505,0.028714962,0.13064069,0.03393755,0.06131244,1
0.010723651,0.052641626,0.50103074,0.076527275,0.13360702,0.09531747,0.034941476,0.045745663,0.022177793,0.027287368,1
0.023525987,0.020286437,0.016756848,0.014424566,0.02209688,0.81520027,0.020589784,0.029786177,0.018299218,0.019033799,1
0.037731428,0.040501866,0.04112937,0.18882822,0.031551693,0.5434454,0.04300189,0.015176657,0.032698087,0.025935423,1
0.80665535,0.020296637,0.019773735,0.022710748,0.019382695,0.020142544,0.019471994,0.017861964,0.026028786,0.027675511,1
0.02014478,0.015666127,0.015084891,0.018761007,0.013784211,0.01956409,0.8472432,0.016513051,0.015251249,0.017987363,1
0.021427961,0.7222323,0.026404755,0.04241521,0.046755426,0.028361622,0.02371889,0.033337813,0.024195887,0.031150209,1
0.015260509,0.014435063,0.009948375,0.00996329,0.013665409,0.87824124,0.011368542,0.014664241,0.014503595,0.017949695,1
0.015528524,0.017800888,0.8615132,0.015515381,0.012425165,0.0154998135,0.019102793,0.012654622,0.016073532,0.0138860885,1
0.023247348,0.01983295,0.02303784,0.024033284,0.016807128,0.021264533,0.02146846,0.023327548,0.802731,0.02424996,1
0.027184207,0.029452018,0.72802037,0.03363767,0.033433378,0.035646897,0.038284097,0.022343645,0.024566844,0.027430829,1
0.016948598,0.013618438,0.015568914,0.014029171,0.014218549,0.86031836,0.01570934,0.019423617,0.014108975,0.016056063,1
0.0098265875,0.017370729,0.018472625,0.7324404,0.052244924,0.06424022,0.038069636,0.023806728,0.023304177,0.020223998,1
0.84643215,0.016566027,0.014800358,0.019144285,0.014517492,0.017967423,0.017440083,0.018311882,0.01916648,0.015653923,1
0.01557283,0.013021318,0.015502134,0.01286337,0.013896104,0.014481252,0.019190682,0.016320275,0.86852807,0.010623986,1
0.024178278,0.018052973,0.021978397,0.020096548,0.02090137,0.019451845,0.020008113,0.02288356,0.8073947,0.0250543,1
0.016465247,0.018527638,0.014342258,0.02000941,0.017160004,0.016478768,0.017858127,0.016897157,0.8478973,0.01436411,1
0.021572674,0.019445755,0.017835049,0.01706565,0.016097326,0.019599797,0.83165073,0.020458033,0.01924362,0.017031375,1
0.018881803,0.01897132,0.016344463,0.018661547,0.015471616,0.8482024,0.016751593,0.014603449,0.016693002,0.015418911,1
0.015723655,0.01720525,0.013904638,0.013918096,0.014530858,0.015540655,0.0151585275,0.017026905,0.86321044,0.013781025,1
0.022987625,0.7970914,0.020646397,0.02309809,0.018689774,0.022149602,0.021809772,0.02266297,0.026109133,0.024755187,1
0.017613461,0.0117862895,0.015801731,0.013501686,0.018525772,0.015828822,0.014337022,0.015180665,0.015111289,0.86231333,1
0.012561758,0.017763002,0.021829562,0.015915245,0.017940376,0.014746918,0.018207986,0.020481242,0.8419892,0.0185647,1
0.023474608,0.7920357,0.018575624,0.018824162,0.021713486,0.023485791,0.021674195,0.025992624,0.029903986,0.024319828,1
0.021151029,0.034843046,0.3611561,0.29981136,0.023670673,0.11701,0.053600658,0.03320214,0.026717404,0.028837629,1
0.017053382,0.021884685,0.018764008,0.017743632,0.017193642,0.018193023,0.82330465,0.023439374,0.022954915,0.019468723,1
0.8714911,0.020460503,0.011915103,0.015273009,0.014931402,0.014748147,0.013194338,0.011002977,0.0133393835,0.013644098,1
0.017557425,0.01745765,0.017995594,0.018524038,0.016986994,0.016268287,0.016846612,0.017553672,0.8476729,0.013136827,1
0.016171776,0.021623218,0.020530418,0.01693247,0.014322407,0.025272897,0.019076213,0.8290774,0.015554774,0.021438368,1
0.0101089915,0.015252896,0.013342418,0.010130137,0.01364542,0.8928282,0.015463534,0.008351821,0.010768964,0.010107671,1
0.015700238,0.013337859,0.013914132,0.8714635,0.01455334,0.016303966,0.01407597,0.011042931,0.015110757,0.014497315,1
0.01892061,0.8061646,0.026394544,0.013954458,0.020574037,0.017211208,0.023456354,0.025782004,0.032780204,0.014761893,1
0.019298527,0.019236343,0.02136107,0.018357577,0.017622396,0.017904596,0.018473879,0.019038355,0.82997453,0.018732743,1
0.02039452,0.7721047,0.019932223,0.019839918,0.024529673,0.019654885,0.020494068,0.020745713,0.02349746,0.058806922,1
0.026466204,0.029295368,0.035212614,0.032005984,0.70734173,0.029147696,0.02343819,0.06280667,0.023398688,0.030886892,1
0.8496914,0.018024614,0.017254211,0.016183648,0.016505044,0.016883155,0.013786644,0.016083084,0.018850308,0.016737927,1
0.016081054,0.016964694,0.016762728,0.020757996,0.019111197,0.015994623,0.01626486,0.016520781,0.8437348,0.017807227,1
0.02023039,0.02018729,0.022650342,0.020050306,0.017932357,0.023261994,0.02244426,0.81113356,0.023267541,0.018841954,1
0.017143441,0.020196779,0.013724958,0.83060473,0.019855604,0.01838348,0.020589186,0.018893633,0.017191052,0.023417063,1
0.01796253,0.017840842,0.015020669,0.02143861,0.8325525,0.018431975,0.02096735,0.01804329,0.021280691,0.016461588,1
0.027027112,0.8035894,0.018603863,0.019480608,0.017831089,0.019504298,0.020369878,0.024243016,0.026066655,0.02328405,1
0.011489442,0.0121775605,0.008352148,0.009861788,0.85466075,0.013289193,0.017619878,0.043322805,0.014779631,0.014446732,1
0.019394938,0.016722377,0.0112312175,0.85454506,0.013561997,0.013589451,0.018780842,0.015986782,0.018655667,0.017531682,1
0.020087201,0.015822554,0.024984512,0.8519806,0.009596421,0.017112667,0.011158444,0.016999282,0.020120112,0.012138159,1
0.01901176,0.018272782,0.8445131,0.018962488,0.014366507,0.020179752,0.01700265,0.016213132,0.014434103,0.017043682,1
0.0203061,0.8184697,0.022492852,0.017624268,0.023759553,0.01891151,0.017832361,0.020816687,0.019807212,0.019979727,1
0.022068955,0.023749813,0.022479864,0.02325553,0.8004397,0.022195673,0.024765866,0.014272285,0.021725321,0.025046952,1
0.016870629,0.016271673,0.021123588,0.020250203,0.015118786,0.019074071,0.019479332,0.84006435,0.016432233,0.015315145,1
0.023735646,0.02102955,0.014265648,0.016949244,0.8177789,0.016772876,0.019128824,0.024244154,0.022687744,0.023407444,1
0.018634688,0.016475737,0.015128049,0.01765911,0.019202203,0.015986072,0.015143573,0.017492134,0.0156173995,0.84866095,1
0.021444054,0.023304796,0.015900271,0.596156,0.043978147,0.19664425,0.02137909,0.028963774,0.026361393,0.025868252,1
0.020791518,0.019298187,0.014448144,0.021081043,0.8261188,0.01925893,0.018525084,0.020257872,0.021411855,0.018808581,1
0.02357595,0.022455746,0.020709727,0.021947367,0.79880834,0.021704555,0.021691093,0.026141712,0.022428378,0.020537104,1
0.019652264,0.01968605,0.82780343,0.021518836,0.015130231,0.019347187,0.025003212,0.01658399,0.01829124,0.016983494,1
0.018218553,0.020777766,0.02158774,0.011389904,0.019198356,0.014374787,0.020056823,0.018869525,0.8402723,0.015254258,1
0.021045886,0.81098276,0.020992564,0.01881573,0.020087047,0.018225474,0.020443877,0.02347014,0.021082176,0.02485432,1
0.020729417,0.014628603,0.84457576,0.014165689,0.014513682,0.014446563,0.02350947,0.017919758,0.019618187,0.015892783,1
0.017759169,0.02080701,0.016876824,0.020566216,0.016147353,0.01616559,0.017678624,0.020876288,0.834019,0.019103864,1
0.020611472,0.02184063,0.015351995,0.023159102,0.01788988,0.7983239,0.032924157,0.018769471,0.024233444,0.026895933,1
0.018719113,0.02685286,0.7015164,0.0303044,0.024004763,0.028528338,0.08797938,0.026844388,0.027847428,0.027402971,1
0.035161715,0.028110616,0.020543942,0.04809852,0.55396074,0.19289973,0.042663388,0.015766775,0.03766875,0.025125839,1
0.8074855,0.023310494,0.026303388,0.020059966,0.02263524,0.018773481,0.020330803,0.023125969,0.018318275,0.019656913,1
0.021079408,0.020129541,0.020893622,0.016639143,0.01884979,0.8250826,0.01872769,0.017010313,0.019983174,0.021604724,1
0.016313186,0.01557589,0.016218854,0.011976563,0.017650468,0.017392086,0.016406171,0.020439021,0.01634263,0.85168505,1
0.022895839,0.8096772,0.021192621,0.020579692,0.020352792,0.017689992,0.020340744,0.019845577,0.020770093,0.02665545,1
0.02928551,0.026492251,0.018840661,0.07089263,0.022687715,0.7090739,0.040153403,0.0376989,0.026854083,0.018020904,1
0.020948572,0.8098094,0.020506633,0.019103957,0.020350076,0.021747697,0.021818146,0.01983401,0.02449316,0.021388393,1
0.8572014,0.016518459,0.020062989,0.015019853,0.015388749,0.016669728,0.0152665395,0.014398474,0.015911039,0.013562766,1
0.02020835,0.02097505,0.809513,0.027017,0.025206948,0.023333766,0.020788662,0.014935826,0.01966771,0.018353635,1
0.018883817,0.018083636,0.017813794,0.019472186,0.014255207,0.019498076,0.020538732,0.83481306,0.018153673,0.018487902,1
0.021116812,0.031070994,0.017932855,0.025574699,0.025641976,0.026367038,0.03246927,0.7635137,0.02715391,0.029158762,1
0.0371648,0.6680778,0.03130162,0.022386137,0.028650334,0.04279196,0.046876933,0.028540583,0.069752246,0.024457598,1
0.5874743,0.01870311,0.012620288,0.036631525,0.0331258,0.02589003,0.044902336,0.20885812,0.021833625,0.009960847,1
0.012663543,0.011164449,0.008521383,0.016413419,0.029780218,0.8705083,0.014455678,0.009467525,0.011015653,0.016009767,1
0.017984742,0.020604406,0.018419867,0.021453422,0.8247443,0.01889534,0.019481488,0.019997666,0.020334214,0.018084502,1
0.017648254,0.014278751,0.014214885,0.015700081,0.012838093,0.02119517,0.86152095,0.015159096,0.013956154,0.013488508,1
0.016006712,0.010743088,0.016672648,0.014083529,0.017879734,0.017948136,0.01607697,0.0151964445,0.015338169,0.8600546,1
0.020147223,0.019721925,0.015897404,0.016354797,0.017271107,0.020948544,0.017726135,0.8370307,0.017834848,0.0170673,1
0.025818791,0.022702549,0.018949721,0.025197297,0.019527689,0.0212355,0.8022548,0.02154245,0.022392033,0.020379161,1
0.84183484,0.011666871,0.01592592,0.014327769,0.018482976,0.018447986,0.018710917,0.018633476,0.016679019,0.025290124,1
0.020577824,0.024076883,0.029003546,0.022159738,0.80365807,0.022228729,0.01822007,0.02162975,0.02126275,0.017182607,1
0.852555,0.017357757,0.017203622,0.019409653,0.015651332,0.016152216,0.016579017,0.014551907,0.011917409,0.01862218,1
0.017441735,0.01917043,0.027005143,0.025674544,0.023477504,0.8097853,0.019037506,0.01722036,0.013058799,0.028128674,1
0.018566206,0.80618435,0.024112387,0.020922579,0.0209928,0.01877576,0.020872159,0.025919465,0.023792738,0.019861598,1
0.010884182,0.013720711,0.8819265,0.01950149,0.006356041,0.014024899,0.016408509,0.017134836,0.009698809,0.010343981,1
0.019795597,0.021582583,0.024097288,0.019958729,0.017865103,0.022973403,0.019895535,0.8096869,0.023950052,0.02019472,1
0.8380902,0.013460968,0.022206182,0.014473712,0.01946367,0.020006493,0.016389996,0.012258425,0.01943256,0.024217868,1
0.01978119,0.01993988,0.015925651,0.02084162,0.022056732,0.026675219,0.80962163,0.024314065,0.020734569,0.020109368,1
0.016561331,0.018596776,0.018314995,0.017944774,0.8412199,0.017087672,0.018768305,0.01198401,0.019929284,0.019592814,1
