feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,outlier
-3.307561,3.6382682,4.5028615,-2.3530748,0.8454621,1.6622804,-1.6298625,-0.02935301,2.6410859,0.299064,-0.12011427,0.7231866,1.6514935,-1.0115765,0.5388099,-1.1168307,0.48430607,-0.12806469,-0.29313818,-0.4762752,0.90170294,0.53160185,0.921937,-0.5855645,-0.8111894,-0.857935,-1.0068793,0.1784817,0.08352693,-0.1353779,0.48772332,0.049151033,-0.56688166,-0.343096,0.1654804,-0.6459906,-0.40701455,0.74763227,-0.106919944,-0.60721177,-0.6463918,-0.45779824,0.7374838,0.42543095,-0.19452341,0.11379367,0.9173101,-0.26245454,-0.6510191,0.10835103,0.0
3.6647441,4.677155,-2.2935696,1.7268112,-1.6433014,-0.20644121,-3.5794742,0.34304208,-1.6371655,-0.9181215,-1.7594985,0.14972669,-0.08639756,-0.6163779,-0.57549304,-0.050352234,1.1037953,0.1877684,1.126591,1.1625918,0.5320501,-0.046374194,-0.2621149,-0.38385049,0.37349167,-0.071089745,0.5020738,0.5409272,0.014921053,-0.030534152,0.1654135,0.70890856,0.33954218,-0.24947928,0.28589112,-0.015721602,-0.39594918,0.08944742,0.73997736,0.11561827,-0.1253298,0.2795565,0.100572675,0.24272723,-0.6008254,-0.2021946,0.2640132,-0.22617766,-0.016562974,-0.21094356,0.0
-3.3251479,-1.3372124,3.4952621,-1.316517,-1.252157,0.71188647,-0.37851328,1.2849299,0.3400891,0.15638463,-1.5310856,0.40739688,0.46041957,0.13046974,0.39092383,0.304212,-0.23493326,1.0572594,-0.34385908,-1.0802587,0.10965392,0.089767426,-0.37767488,0.7140594,-0.010155805,-0.17857677,-0.050294545,0.458188,-0.4008612,-0.20504662,-0.20928264,-0.025933731,-0.18645449,-0.21278612,0.6197503,-0.6579937,-0.32010034,0.109379165,-0.72128385,-0.38642877,0.55531853,-0.6044509,0.017276986,-0.4120873,0.19281626,0.33226478,0.21900442,-0.23025523,0.22746947,0.026155194,0.0
4.7506723,-0.2963689,0.4356628,-2.4714072,1.355741,-0.2431281,-1.3431802,0.36571267,-1.5843685,-0.70531005,1.6689578,-0.89680403,0.24758285,-0.13310246,-1.0360948,0.5766134,-0.5047608,0.071160905,0.041655235,0.5433489,-0.33046702,0.061518222,-0.21475483,0.32751736,-0.07405124,-0.16097365,-0.21348667,0.35285258,-0.4627491,-0.013827502,0.28858966,-0.74244297,0.103552364,0.08966903,0.62206936,0.2428142,-0.19231701,0.3701889,0.5800289,-0.15290974,0.22233978,0.05472545,0.17971326,-0.22360477,0.124437585,0.081010565,-0.19476075,-0.6350996,0.14197734,-0.19281429,0.0
-1.6902238,4.425016,3.7315578,-1.9444804,0.7243799,1.2977382,-0.3359379,1.27032,1.8388687,0.8441942,0.6266669,-1.424676,1.1092128,-1.1030964,1.3833966,-0.20612656,0.6067141,-0.2517702,-0.281965,-0.73167425,-0.065022334,-0.12448804,-0.19669548,-0.9539061,-0.7074407,-0.115438744,-1.0401018,0.19707131,0.10679661,-0.2203465,0.17564009,-0.28353068,-0.2842948,-0.060359627,-0.4813883,0.13094294,-0.36841777,0.17775555,-0.30240822,0.23831534,-0.10497618,-0.7796765,0.095159836,0.804215,0.6359934,-0.62677354,-0.041772988,-0.51017594,0.07887977,-0.53940433,0.0
3.7532163,4.3340263,-1.1301631,-1.6711317,1.1648674,0.87460047,-2.2503738,3.0996532,-1.3926471,0.7314328,-0.16853066,0.7311692,-1.9270945,-0.828906,-0.57126826,-0.38466933,0.107590385,-0.29621574,0.15687688,0.67228794,-0.67084986,0.3088032,0.6767203,-1.0918893,-1.990477,0.53793925,-0.51873654,-0.7639105,-1.8640952,0.5250702,0.2754817,0.6976843,0.079968184,0.0857615,0.23179066,1.1545501,0.25275502,0.48462364,0.11911393,-0.7520793,-0.19896416,0.20096932,0.82363206,-0.91480213,-0.24090964,-0.635771,-0.6974188,-0.095576406,0.51265466,0.79022455,0.0
3.4229596,2.4436135,1.8330138,1.43973,-1.4640477,-0.95644164,1.0463586,-1.0102279,-1.7052996,-0.09942792,-0.57587945,-0.6737582,-0.29689378,0.36337194,-0.5062212,0.48332235,0.40764073,-0.24471843,0.3762132,-0.55851185,-0.19514108,-0.3075335,0.704257,-0.52939457,0.36270905,-0.10751131,0.2660717,-0.7796369,-0.32806152,-0.4936277,0.09881766,0.12736876,0.3638136,-0.1885554,0.3065181,-0.30636582,-0.32438374,-0.30341455,0.015165662,0.28885958,0.6537183,-0.29728234,-0.39622766,0.4337665,-0.20969321,0.21802153,0.123182565,0.02341862,-0.11085869,0.14347114,0.0
-1.5055239,-1.5139344,0.13640648,-0.03168671,1.51678,0.5322781,1.3502877,2.975583,0.026755005,-1.3195988,-0.8587283,-2.7149713,-0.6390882,0.07154265,0.41432303,-0.16980094,0.51327515,0.19909611,0.0710928,-0.33761862,-0.47648248,0.7323913,0.017345777,-0.033787824,0.4442667,-0.51625323,-0.192989,0.31742752,0.33607638,-0.053716492,-0.11179597,-0.5088062,0.12875427,-0.47212738,-0.037014082,0.0823061,-0.050199006,-0.08528565,-0.5223125,-0.30019435,-0.34482902,0.17013055,-0.11326499,0.16503148,-1.0459585,-0.14949743,0.36567548,0.18457928,-0.40251836,-0.45478866,0.0
-3.360497,-4.4128933,3.3065484,-0.37541786,-1.244578,0.4830075,-1.8460773,0.74418175,-0.58615917,1.6195453,-0.6406862,0.6920035,-0.7156834,0.8544962,-0.974603,0.39712536,-0.6236258,0.27457842,0.093620986,-0.5211124,0.11969638,-0.33936688,0.8682433,-0.34700844,-0.17717892,0.89151525,0.047641378,-0.28050113,0.37992132,-0.5628027,-0.7173451,0.046938516,-0.23948064,0.157203,0.6296713,-0.6353196,0.2019883,0.026573561,0.049897287,0.034220815,-0.5096021,-0.2162569,0.14804348,-0.044148706,0.1743497,-0.060696393,-0.2723212,-0.26912218,0.0862877,0.33340833,0.0
4.579538,-0.050273784,-0.35421842,3.6569705,-1.8784163,-0.9524041,-1.8263788,0.87719625,1.5055909,0.90502125,-0.5857736,0.20994654,0.30172354,-2.0661974,0.6682537,-0.058156535,-0.8181975,-0.42021185,0.0055376017,-0.35236874,-0.173741,1.2404857,0.7148716,0.34330082,-0.04053717,0.15762407,-0.5404006,-0.045257624,-1.0129712,-0.31513184,0.09039761,-0.036399983,-0.47433627,0.086025134,-0.32136226,-0.26698685,0.9129721,-0.052881934,-0.115986556,0.19746293,0.03946154,-0.060139567,-0.6877324,-0.30407745,-0.9096768,0.075736165,-0.5388078,0.25735343,-0.27461436,-0.124561794,0.0
2.6341588,3.1439104,-2.0264258,-2.5967886,1.2589719,0.5144694,-2.190325,0.83459175,-1.2351106,-0.62494826,0.23108977,-0.4279791,-0.5775566,-0.55562484,-0.0117698675,0.5288677,-0.63882583,0.5220127,-0.22948965,0.5609529,-0.19067489,-0.057723165,0.14702412,-0.69027805,-0.36925322,0.31886357,0.64536804,-0.4817976,0.08941984,0.13421963,0.060890757,-0.39881933,0.37649828,-0.8973715,1.1857972,1.016718,-0.21342757,0.8181716,0.063451156,0.083955735,-0.46579468,-0.55664015,-0.5599044,0.27899972,0.41340008,0.2759179,0.12779386,0.25352004,0.07646128,0.44896734,0.0
-0.64876705,0.10818641,-1.9334176,-1.7443299,2.4718013,1.2030836,-2.3375406,0.74729526,-1.7842553,0.2696263,-0.6026656,-0.2628153,0.5318196,-0.03460808,-0.54286295,-0.8648128,-0.22530273,0.76951045,-0.7738292,0.052732147,0.30409187,0.7277023,-0.24639302,-1.692881,0.13964503,0.6750122,0.16937134,-0.9446035,0.19640978,-0.07090159,0.23859864,-0.5587204,0.10119039,0.31849435,0.7050794,0.5425405,-0.50430924,0.19595823,-0.6551127,-0.34693477,0.23862329,0.5730913,-0.12059714,0.033561256,0.35890198,0.071991086,-0.3506642,0.101583324,-0.4442866,0.51958096,0.0
